id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,yukari,left,,,sad,white_tears,laugh,,,,1,
2,instantiate,left_aoi,left,,,sad,guruguru,triangle,,,,1,
3,talk,yukari,left,いたたたた...,,sad,white_tears,cat,,,,0,yukari-28
4,talk,yukari,left,大丈夫ですか、葵ちゃん？,,sad,half_open,o,,,,0,yukari-29
5,talk,left_aoi,left,ええ、なんとか...\nでもこれは登れそうに\nないですね...,,sad,normal,triangle,,,,0,aoi-8
6,talk,left_aoi,left,ああ、きっと\nお姉ちゃんが心配してる,,sad,half_open,triangle,,,,0,aoi-9
7,talk,yukari,left,うーん、見たところ\n洞窟のようですね\n進んでいけば地上に続く道があるかも...,,normal,normal,mu,,,,0,yukari-30
8,talk,left_aoi,left,くんくん...,,normal,close,omega,,,,0,aoi-10
9,talk,left_aoi,left,地上のお姉ちゃんの匂いが、\nあっちの方に移動してる...,,anger,normal,laugh,,,,0,aoi-11
10,talk,yukari,left,なんですかその能力,,normal,half_open,o,,,sweat,0,yukari-31
11,talk,yukari,left,でも、ということは茜ちゃんとマキさんは向こうで洞窟の出口を探してくれているのかもしれませんね,,normal,normal,omega,,,nothing,0,yukari-32
12,talk,yukari,left,とりあえず\nそっちに向かいましょう\n歩けますか？,,normal,smile,laugh,,,,0,yukari-33
13,talk,left_aoi,left,.....。,,anger,half_open,mu,,,,0,
14,talk,left_aoi,left,どうして\n親切にしてくれるんですか？\n敵同士なのに...,,anger,half_open,triangle,,,,0,aoi-12
15,talk,yukari,left,今は脱出してそれぞれの相棒に合流するのが先決ですよ,,normal,normal,smile,,,,0,yukari-34
16,talk,yukari,left,それに、すでに一度勝負は\nついているじゃないですか,,normal,half_open,nisisi,,,,0,yukari-35
17,talk,left_aoi,left,お姉ちゃんと合流したら\nまた勝負を仕掛けるかも\nしれませんよ,,anger,half_open,mu,,,,0,aoi-13
18,talk,yukari,left,その時はまた返り討ちにして差し上げましょう！,,normal,smile,laugh,,,,0,yukari-36
19,talk,left_aoi,left,むむむむ...,,anger,half_open,triangle,,,,0,aoi-14
20,talk,yukari,left,さぁ、そろそろ行きましょう,,normal,normal,smile,,,,0,yukari-37
21,talk,yukari,left,先程の戦いでお疲れでしょう\n道を切り開きますので、\nゆっくり後ろをついてきてくださいね,,normal,close,laugh,,,,0,yukari-38
22,talk,left_aoi,left,.....。,,sad,close,omega,,,,0,
23,out,yukari,left,,,,,,,,,1,
24,out,left_aoi,left,,,,,,,,,1,
25,end,,,,,,,,,,,0,
