id,type,chara,position,text,main,eye_brows,eye,mouse,option1,option2,option3,play_next,voice
1,instantiate,kiritan,right,,,,,,,,,1,
2,instantiate,yukari,left,,,,,,,,,1,
3,instantiate,maki,left,,,,,,,,,1,
4,talk,kiritan,right,ぐわー！,kiritan,sad,white_tears,laugh,,,,0,kiritan-11
5,talk,yukari,left,っしゃあ！！,,anger,shock,laugh,,,,0,yukari-19
6,talk,kiritan,right,小学生相手に2対1でボコボコにして、恥ずかしくないんですか！,,sad,white_tears,omega,,,,0,kiritan-12
7,talk,maki,left,ちょっと恥ずかしい,,sad,smile,laugh,,,,0,maki-13
8,talk,yukari,left,勝ちゃあ良いんですよォ！,,anger,normal,laugh,,,,0,yukari-20
9,talk,maki,left,ゆかりんのクールキャラが\n早くも剥がれつつあるねぇ,,sad,normal,laugh,,,,0,maki-14
10,talk,kiritan,right,過程はともかく、\n負けは負けです\nどうぞお通りください,,sad,half_open,gununu,,,,0,kiritan-13
11,talk,yukari,left,ふー....\nそれじゃあ遠慮なく\nいきましょうマキさん,,normal,normal,laugh,,,,0,yukari-21
12,talk,maki,left,あ、うん,,normal,normal,o,,,,0,maki-15
13,talk,maki,left,またねー,,normal,smile,laugh,,,,0,maki-16
14,talk,kiritan,right,おつでーす,,normal,half_open,omega,,,,0,kiritan-14
15,talk,yukari,left,バリバリ元気じゃないですか,,normal,half_open,mu,,,,0,yukari-22
16,out,yukari,left,,,,,,,,,1,
17,out,maki,left,,,,,,,,,1,
18,out,kiritan,right,,,,,,,,,1,
19,scene_change,,,Stage2-1,,Stage2-4,,,,,,0,
